,Y
2,57384413.32
3,53027042.46
4,49971142.8
5,47923024.6
6,45975894.25
7,44307813.24
8,42643010.01
9,42041249.88
10,41037639.25
11,40189606.19
12,39594844.78
13,39533996.95
14,38664658.01
15,37277780
16,37040020.24
17,36611413.86
18,35891705.73
19,35199280.44
20,34924518.54
