,X
2,33206866.57
3,31617140.05
4,30632213.15
5,29729079.54
6,29595426.88
7,28652162.75
8,28311966.21
9,27892267.74
10,27762309.85
11,27022510.89
12,26611026.09
13,26258009.26
14,26043582.04
15,25776490.52
16,25543951.21
17,25292483.61
18,25445872.37
19,24551900.78
20,24538881.77
