,Y
2,60162791.36
3,55638711.18
4,52653886.01
5,49889356.73
6,47459812.4
7,45798838.07
8,44284637.23
9,43295024.7
10,42142345.89
11,41356201.9
12,40568311.14
13,39523160.87
14,38806408.84
15,38265607.94
16,37985396.95
17,37310208.74
18,37186886.22
19,36887055.35
20,35886990.48
