,XY
2,96131101.01
3,91693861.58
4,88489133.9
5,85425710
6,83840264.62
7,82269331.99
8,79807679.84
9,78896812.93
10,77972509.68
11,77642411.52
12,75619941.49
13,75017529.9
14,73793144.82
15,72946040.79
16,71566090.39
17,71982277.4
18,70035844.16
19,70021862.97
20,69210910.59
