,Y
2,190028454.7
3,129706929.2
4,105087806.2
5,90060821.39
6,82931113.83
7,77486671.04
8,73678209.01
9,70358885.21
10,67890858.04
11,66142931.66
12,64209415.6
13,61634605.06
14,60132519.73
15,60017130.87
16,57458725.87
17,56393829.96
18,55713279.82
19,53506994.62
20,54405423.01
