,XY
2,363129906.5
3,302733970.8
4,246268591.9
5,220068675.5
6,201260430.5
7,187145516.1
8,174864972.9
9,164175929.4
10,159382204.7
11,152997365.1
12,146772818.3
13,142347449.8
14,139865757.6
15,134960281.5
16,132333614.6
17,128099964.2
18,127693806.4
19,121674979.7
20,121639461.4
