,X
2,94095987.36
3,65307753.55
4,55037194.06
5,47595735.39
6,43758907.9
7,41858503.33
8,40614447.47
9,38369140.13
10,37715209.89
11,36863006.35
12,36309459.62
13,35433663.5
14,35037989.07
15,34442450.87
16,34047334.81
17,33404518.3
18,33462437.64
19,32677084.26
20,32672679.6
