,xy,x,y
2,49421652.75849937,15703379.47892332,32233568.32358838
3,46782519.45787274,14980199.606410898,29552887.979964323
4,44255816.95195575,14485151.773607986,27402982.7828327
5,42453087.240816824,14111944.085241754,25467850.581795134
6,41351661.201736204,13703539.71769635,24631429.568154152
7,40203014.20225992,13098113.683270704,23817646.751451693
8,38698441.09453303,12949815.313369622,22576301.23168882
9,38715880.81697129,12805489.200106014,22002395.62069546
