A00004_open_2021Y04M24D10H33m,1,0,0,1,3,1,2,0
A00005_close_2021Y02M16D18H19m,0,1,2,4,0,4,1,7
A00005_close_2021Y02M18D18H14m,0,0,0,0,3,2,5,4
A00005_close_2021Y02M23D17H52m,1,0,0,1,3,1,2,5
A00005_close_2021Y03M01D18H02m,0,1,1,0,3,3,2,1
A00005_close_2021Y03M17D18H16m,0,1,0,0,1,2,5,4
A00005_close_2021Y04M19D14H58m,1,2,3,1,4,1,3,5
A00005_close_2021Y04M20D14H48m,0,0,0,0,3,2,5,4
A00005_close_2021Y04M20D18H09m,1,0,0,0,1,3,0,5
A00005_open_2021Y02M16D18H18m,1,0,0,0,1,2,0,4
A00005_open_2021Y02M18D18H12m,1,0,0,0,1,3,0,0
A00005_open_2021Y02M23D17H53m,1,2,3,1,4,1,3,5
A00005_open_2021Y03M01D18H03m,1,0,0,1,3,1,2,5
A00005_open_2021Y03M17D18H17m,0,0,0,0,3,2,5,4
A00005_open_2021Y04M19D14H57m,0,0,0,0,3,2,5,2
A00005_open_2021Y04M20D14H49m,1,2,3,1,4,1,3,5
A00005_open_2021Y04M20D18H11m,1,2,3,3,4,5,6,3
A00006_close_2021Y04M19D10H15m,0,1,2,4,0,4,1,7
A00006_close_2021Y04M20D14H37m,0,1,1,2,2,6,7,6
A00006_close_2021Y04M21D10H31m,0,1,2,4,3,2,5,4
A00006_close_2021Y04M21D14H14m,0,1,2,4,0,2,5,4
A00006_close_2021Y04M23D10H11m,0,0,0,1,3,2,2,2
A00006_close_2021Y04M26D10H26m,1,0,0,0,3,2,2,0
A00006_close_2021Y04M27D10H21m,0,1,0,0,3,2,5,4
A00006_close_2021Y04M27D14H51m,0,1,0,0,3,2,1,2
A00006_open_2021Y04M19D10H14m,0,1,2,4,0,4,1,7
A00006_open_2021Y04M20D14H39m,0,1,2,4,0,4,5,8
A00006_open_2021Y04M21D10H30m,0,0,0,0,1,2,5,0
A00006_open_2021Y04M21D14H13m,1,0,0,0,1,0,0,5
A00006_open_2021Y04M23D10H10m,0,0,0,0,3,2,2,0
A00006_open_2021Y04M26D10H27m,1,0,0,1,3,0,2,0
A00006_open_2021Y04M27D10H19m,1,0,0,0,1,3,0,4
A00006_open_2021Y04M27D14H50m,0,1,2,4,0,2,5,4
A00007_close_2021Y04M15D14H22m,1,2,3,1,4,1,3,5
A00007_close_2021Y04M16D14H13m,1,0,0,1,3,1,2,5
A00007_close_2021Y04M19D14H51m,0,0,0,0,1,2,5,0
A00007_close_2021Y04M20D14H14m,1,0,0,0,1,1,0,0
A00007_close_2021Y04M20D18H17m,0,0,0,0,3,2,5,4
A00007_close_2021Y04M22D14H06m,1,0,0,1,4,1,2,5
A00007_close_2021Y04M26D10H35m,1,0,0,1,3,1,2,5
A00007_close_2021Y04M26D15H02m,1,0,0,1,1,1,0,5
A00007_open_2021Y04M15D14H21m,1,0,0,0,1,2,0,4
A00007_open_2021Y04M16D14H14m,1,0,1,1,3,1,2,2
A00007_open_2021Y04M19D14H50m,1,0,0,0,1,2,0,0
A00007_open_2021Y04M20D14H16m,0,0,0,0,1,2,5,4
A00007_open_2021Y04M20D18H19m,0,0,0,0,3,2,2,2
A00007_open_2021Y04M22D14H08m,1,0,0,0,1,1,0,0
A00007_open_2021Y04M26D10H36m,1,0,0,1,3,1,2,5
A00007_open_2021Y04M26D15H03m,0,1,0,0,3,2,5,2
A00008_close_2021Y02M15D10H04m,0,0,0,0,1,3,0,4
A00008_close_2021Y02M15D18H29m,1,2,1,1,4,1,2,1
A00008_close_2021Y02M16D18H29m,0,1,1,0,3,3,5,4
A00008_close_2021Y02M17D10H07m,1,0,1,1,3,3,2,1
A00008_close_2021Y02M17D18H14m,0,1,2,4,0,4,1,7
A00008_close_2021Y02M18D10H35m,0,1,2,4,0,4,1,7
A00008_close_2021Y02M18D18H23m,0,1,1,4,3,3,1,1
A00008_close_2021Y04M28D14H11m,0,1,2,4,0,4,1,7
A00008_open_2021Y02M15D10H06m,0,1,2,4,0,4,1,7
A00008_open_2021Y02M15D18H28m,1,0,0,1,1,1,0,5
A00008_open_2021Y02M16D18H28m,0,1,0,0,3,2,2,2
A00008_open_2021Y02M17D10H08m,1,0,0,0,1,1,0,5
A00008_open_2021Y02M17D18H16m,0,1,2,4,0,4,1,7
A00008_open_2021Y02M18D10H33m,0,0,0,0,1,3,0,4
A00008_open_2021Y02M18D18H22m,0,1,1,1,2,0,2,1
A00008_open_2021Y02M19D10H38m,1,0,1,1,3,0,2,1
