,xy,x,y
2,186540980.67405936,40800464.77867571,108465097.77289519
3,149037562.28276578,28329712.443299353,75815616.70348023
4,128129087.50699335,23189779.750771638,58672533.87836776
5,113576289.95027083,21177052.787680767,52639368.81728404
6,103589764.19191666,19740314.400593445,47155318.03651046
7,97484186.64267288,18358822.56804368,44303585.25450488
8,93454672.19575435,17897123.893694323,42073588.66612097
9,89433965.70672056,17623587.07316686,39929972.500500426
