,X
2,58128532.91
3,46905191.27
4,41824277.12
5,39268103.65
6,37518518.83
7,36488328.46
8,35600993.72
9,34803150.15
10,34207547.7
11,33833561.55
12,33296224.5
13,32941665.14
14,32171337.84
15,31908568.75
16,31769760.77
17,31178603.98
18,30697848.29
19,30450706.94
20,29621268.79
