,XY
2,201888401.6
3,176447290.4
4,156108955.4
5,145402572.3
6,137809212.9
7,131696297
8,125091853.2
9,122618848.2
10,117712238.7
11,115212870
12,111200704.2
13,110685416.1
14,108169818.4
15,106656329.2
16,105282441.5
17,101844822.3
18,102160652
19,99670400.13
20,97641601.18
